1503288066.435742,0.67
1503288066.941109,0.68
1503288067.444335,0.58
1503288067.945109,0.96
1503288068.446989,0.23
1503288068.947245,0.4
1503288069.451334,0.4
1503288069.953879,0.19
1503288070.454536,0.42
1503288070.955679,0.11
1503288071.455996,0.57
1503288071.957441,0.2
1503288072.458809,0.1
1503288072.959649,0.3
1503288073.464188,0.48
1503288073.968938,0.89
1503288074.469703,0.32
1503288074.973823,0.88
1503288075.474663,0.75
1503288075.979695,0.33
1503288076.480184,0.4
1503288076.98117,0.83
1503288077.485847,0.47
1503288077.986332,0.08
1503288078.486873,0.59
1503288078.988923,0.4
1503288079.489231,0.72
1503288079.99184,0.23
1503288080.492187,0.14
1503288080.992511,0.44
1503288081.493202,0.2
1503288081.994793,0.18
1503288082.500069,0.91
1503288083.0039,0.12
1503288083.504233,0.26
1503288084.005616,0.82
1503288084.506402,0.41
1503288085.006766,0.74
1503288085.507006,0.83
1503288086.00835,0.82
1503288086.509061,0.24
1503288087.014364,0.28
1503288087.518909,0.58
1503288088.020856,0.29
1503288088.524548,0.79
1503288089.024865,0.32
1503288089.52518,0.28
1503288090.025689,0.53
1503288090.526151,0.84
1503288091.026375,0.42
1503288091.526673,0.1
1503288092.026944,0.21
1503288092.527214,0.39
1503288093.027904,0.15
1503288093.529397,0.45
1503288094.03356,0.43
1503288094.537463,0.87
1503288095.038032,0.63
1503288095.538417,0.19
1503288096.039886,0.03
1503288096.541007,0.49
1503288097.044755,0.3
1503288097.548073,0.94
1503288098.051583,0.78
1503288098.554756,0.43
1503288099.055447,0.11
1503288099.557954,0.97
1503288100.058395,0.59
1503288100.559773,0.75
1503288101.060212,0.2
1503288101.561385,0.95
1503288102.061615,0.74
1503288102.561957,0.12
1503288103.062775,0.9
1503288103.563035,0.1
1503288104.063885,0.44
1503288104.567387,0.99
1503288105.072185,0.36
1503288105.573006,0.3
1503288106.073884,0.31
1503288106.575389,0.12
1503288107.080714,0.9
1503288107.586042,0.93
1503288108.090002,0.2
1503288108.591276,0.16
1503288109.091617,0.59
1503288109.592414,0.49
1503288110.093465,0.33
1503288110.594651,0.96
1503288111.095012,0.33
1503288111.595454,0.83
1503288112.095856,0.04
1503288112.597197,0.17
1503288113.100296,0.26
1503288113.601571,0.04
1503288114.106628,0.94
1503288114.607218,0.17
1503288115.107442,0.52
1503288115.607954,0.37
1503288116.110113,0.37
1503288116.610589,0.54
1503288117.111887,0.7
1503288117.612882,0.97
1503288118.113853,0.89
1503288118.614481,0.86
1503288119.117833,0.22
1503288119.618759,0.85
1503288120.119654,0.73
1503288120.623781,0.4
1503288121.124762,0.88
1503288121.626054,0.01
1503288122.127357,0.07
1503288122.628095,0.88
1503288123.128595,0.37
1503288123.628956,0.09
1503288124.129273,0.11
1503288124.634366,0.31
1503288125.135195,0.62
1503288125.636104,0.28
1503288126.136376,0.89
1503288126.640616,0.65
1503288127.144287,0.96
1503288127.64476,0.47
1503288128.150076,0.33
1503288128.650652,0.82
1503288129.151839,0.91
1503288129.652766,0.01
1503288130.15351,0.47
1503288130.658152,0.94
1503288131.158542,0.02
1503288131.660211,0.93
1503288132.162142,0.28
1503288132.662897,0.89
1503288133.163277,0.42
1503288133.664235,0.29
1503288134.165297,0.66
1503288134.670626,0.16
1503288135.171027,0.94
1503288135.676347,0.88
1503288136.177386,0.19
1503288136.678013,0.45
1503288137.179416,0.42
1503288137.679791,0.28
1503288138.180995,0.34
1503288138.681325,0.15
1503288139.18532,0.04
1503288139.68594,0.9
1503288140.186767,0.61
1503288140.687506,0.5
1503288141.188395,0.14
1503288141.692655,0.71
1503288142.19285,0.71
1503288142.693669,0.25
1503288143.195575,0.13
1503288143.696364,0.01
1503288144.197105,0.59
1503288144.697433,0.12
1503288145.19773,0.76
1503288145.70301,0.54
1503288146.203552,0.45
1503288146.707504,0.11
1503288147.209747,0.55
1503288147.710998,0.6
1503288148.212631,0.92
1503288148.714038,0.28
1503288149.219324,0.02
1503288149.720718,0.8
1503288150.226046,0.37
1503288150.726984,0.47
1503288151.228319,0.6
1503288151.728772,0.59
1503288152.230347,0.63
1503288152.731428,0.16
1503288153.231908,0.87
1503288153.732971,0.05
1503288154.233499,0.01
1503288154.73485,0.65
1503288155.235922,0.27
1503288155.736443,0.32
1503288156.237253,0.23
1503288156.737408,0.88
1503288157.238712,0.9
1503288157.743987,0.81
1503288158.245095,0.78
1503288158.74556,0.62
1503288159.24624,0.37
1503288159.746775,0.11
1503288160.24811,0.27
1503288160.7534,0.42
1503288161.258053,0.89
1503288161.759497,0.96
1503288162.261459,0.28
1503288162.765232,0.52
1503288163.265772,0.19
1503288163.766061,0.1
1503288164.267409,0.77
1503288164.768236,0.35
1503288165.269972,0.21
1503288165.775313,0.1
1503288166.275913,0.54
1503288166.780071,0.09
1503288167.280373,0.99
1503288167.78268,0.12
1503288168.283476,0.99
1503288168.788754,0.48
1503288169.289068,0.87
1503288169.789699,0.65
1503288170.290198,0.76
1503288170.793608,0.16
1503288171.299939,0.09
1503288171.801032,0.75
1503288172.301407,0.09
1503288172.802428,0.97
1503288173.306487,0.31
1503288173.811352,0.22
1503288174.31279,0.1
1503288174.816903,0.67
1503288175.322218,0.16
1503288175.823461,0.79
1503288176.327267,0.02
19
1503288175.582718,0.72
1503288176.088011,0.68
1503288176.588549,0.06
